%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
107336919951,78,0,honey/haz_cam,-0.0580232702196,0.00750011159107,0.0190730690956,0.296620100737,-0.114222474396,0.72198164463,0.614581525326,0.0344509184361,-1.8335365894e-05,0.000219923764234,0.0,0.0,0.0,-1.83353458851e-05,0.0340961664915,-4.9091981964e-06,0.0,0.0,0.0,0.000219923749682,-4.90908178108e-06,0.0341796241701,0.0,0.0,0.0,0.0,0.0,0.0,0.294265717268,-0.00208161142655,0.0290585160255,0.0,0.0,0.0,-0.00208161119372,0.164485663176,-0.00461384654045,0.0,0.0,0.0,0.0290585160255,-0.00461384560913,0.301515191793
108375784326,79,0,honey/haz_cam,-0.0580236688256,0.00750014651567,0.0190731454641,0.319891542196,-0.111464329064,0.735011935234,0.587367832661,0.0349355228245,-8.93794003787e-06,0.000220678775804,0.0,0.0,0.0,-8.93796277524e-06,0.0345755293965,7.97587381385e-06,0.0,0.0,0.0,0.0002206787467,7.97587381385e-06,0.0346457436681,0.0,0.0,0.0,0.0,0.0,0.0,0.297204166651,-0.000946969143115,0.0288864821196,0.0,0.0,0.0,-0.000946969143115,0.165698587894,-0.00331236445345,0.0,0.0,0.0,0.0288864821196,-0.00331236538477,0.302275121212
109328377713,80,0,honey/haz_cam,-0.0580241605639,0.00750019866973,0.0190732516348,0.345214873552,-0.110523350537,0.747877001762,0.556138038635,0.0354186221957,5.55566941784e-07,0.000220842615818,0.0,0.0,0.0,5.55559438453e-07,0.0350540094078,2.18246368604e-05,0.0,0.0,0.0,0.00022084263037,2.18248114834e-05,0.0351124964654,0.0,0.0,0.0,0.0,0.0,0.0,0.300070226192,0.000329598813551,0.0287482161075,0.0,0.0,0.0,0.000329599104589,0.166738659143,-0.00196953071281,0.0,0.0,0.0,0.0287482142448,-0.00196953024715,0.30315092206
110352429154,81,0,honey/haz_cam,-0.0580242723227,0.00750022288412,0.019073298201,0.354906857014,-0.114872202277,0.759881019592,0.532376110554,0.0358691848814,6.76911668052e-06,0.0002271689591,0.0,0.0,0.0,6.76907438901e-06,0.035514421761,3.19239406963e-05,0.0,0.0,0.0,0.0002271689591,3.1923824281e-05,0.0355708859861,0.0,0.0,0.0,0.0,0.0,0.0,0.301554769278,0.00096039858181,0.0289157144725,0.0,0.0,0.0,0.000960398232564,0.16772761941,-0.00134345493279,0.0,0.0,0.0,0.0289157144725,-0.00134345539846,0.305384814739
111346858528,82,0,honey/haz_cam,-0.0580246224999,0.00750025361776,0.0190733950585,0.375653684139,-0.126171559095,0.771144628525,0.498296618462,0.0363261662424,9.54194365477e-06,0.000231779849855,0.0,0.0,0.0,9.54189636104e-06,0.0359732657671,4.38852875959e-05,0.0,0.0,0.0,0.000231779849855,4.38854040112e-05,0.0360288470984,0.0,0.0,0.0,0.0,0.0,0.0,0.303684741259,0.0013519579079,0.0294118709862,0.0,0.0,0.0,0.00135195814073,0.168360128999,-0.000964755192399,0.0,0.0,0.0,0.0294118709862,-0.000964754843153,0.307338237762
112324608597,83,0,honey/haz_cam,-0.0580250099301,0.00750028062612,0.019073497504,0.396703958511,-0.133723989129,0.784084558487,0.458207160234,0.0367870889604,1.60636864166e-05,0.000234698469285,0.0,0.0,0.0,1.60636991495e-05,0.0364374034107,5.95480196353e-05,0.0,0.0,0.0,0.000234698469285,5.95480778429e-05,0.0364952348173,0.0,0.0,0.0,0.0,0.0,0.0,0.305513232946,0.00239479518496,0.029984805733,0.0,0.0,0.0,0.00239479495212,0.169166967273,-2.02356568479e-06,0.0,0.0,0.0,0.0299848075956,-2.02356568479e-06,0.30973303318
113358963481,84,0,honey/haz_cam,-0.0580253340304,0.00750030949712,0.0190736055374,0.406562328339,-0.134028241038,0.796012580395,0.427908837795,0.0372557602823,2.4352919354e-05,0.000238533699303,0.0,0.0,0.0,2.43529557338e-05,0.0369176454842,7.38513699616e-05,0.0,0.0,0.0,0.000238533684751,7.3851311754e-05,0.0369778387249,0.0,0.0,0.0,0.0,0.0,0.0,0.306761771441,0.00366110005416,0.0301672909409,0.0,0.0,0.0,0.00366110051982,0.171052575111,0.00103558308911,0.0,0.0,0.0,0.0301672928035,0.00103558285628,0.312968462706
114358363475,85,0,honey/haz_cam,-0.058025803417,0.00750035140663,0.0190737191588,0.426846474409,-0.136916086078,0.803035140038,0.392669349909,0.0377151407301,3.04056939058e-05,0.000238470558543,0.0,0.0,0.0,3.04057120957e-05,0.0373771488667,8.79794097273e-05,0.0,0.0,0.0,0.000238470529439,8.79792933119e-05,0.0374376103282,0.0,0.0,0.0,0.0,0.0,0.0,0.308993786573,0.00483567779884,0.0305600967258,0.0,0.0,0.0,0.00483567779884,0.172424390912,0.00193377130199,0.0,0.0,0.0,0.0305600930005,0.00193377153482,0.314891695976
115375547192,86,0,honey/haz_cam,-0.0580259114504,0.00750035746023,0.0190737470984,0.447310656309,-0.14429846406,0.80940502882,0.352069795132,0.0381947383285,3.43674146279e-05,0.000238618187723,0.0,0.0,0.0,3.43674255419e-05,0.03785584867,0.00010211954941,0.0,0.0,0.0,0.000238618202275,0.000102119432995,0.03792418167,0.0,0.0,0.0,0.0,0.0,0.0,0.311100125313,0.00560183916241,0.0313807986677,0.0,0.0,0.0,0.00560183869675,0.174173280597,0.00279973284341,0.0,0.0,0.0,0.0313807986677,0.00279973307624,0.317788541317
116394672676,87,0,honey/haz_cam,-0.0580262690783,0.00750038027763,0.0190738551319,0.462089270353,-0.151582792401,0.81737691164,0.308852136135,0.0386724807322,3.84840386687e-05,0.000239962828346,0.0,0.0,0.0,3.84840423067e-05,0.0383389256895,0.000117354502436,0.0,0.0,0.0,0.000239962842898,0.000117354502436,0.0384224578738,0.0,0.0,0.0,0.0,0.0,0.0,0.312394827604,0.00633348012343,0.0324159488082,0.0,0.0,0.0,0.00633348012343,0.176122456789,0.00351556250826,0.0,0.0,0.0,0.0324159488082,0.00351556227542,0.32174500823
117328665971,88,0,honey/haz_cam,-0.0580262131989,0.00750034023076,0.0190738495439,0.474187284708,-0.164199709892,0.819535970688,0.276666015387,0.039145026356,3.57360695489e-05,0.000243644375587,0.0,0.0,0.0,3.57360950147e-05,0.0388088896871,0.000124886195408,0.0,0.0,0.0,0.000243644331931,0.000124886311824,0.0389079935849,0.0,0.0,0.0,0.0,0.0,0.0,0.314317971468,0.00572282914072,0.0334740690887,0.0,0.0,0.0,0.00572282867506,0.177923232317,0.00346831115894,0.0,0.0,0.0,0.0334740653634,0.00346831069328,0.324531316757
118354737887,89,0,honey/haz_cam,-0.0580262094736,0.00750033417717,0.0190738495439,0.488084346056,-0.172661796212,0.82044839859,0.242537528276,0.0396115109324,3.64881343557e-05,0.000244948809268,0.0,0.0,0.0,3.64881270798e-05,0.039272069931,0.000133651643409,0.0,0.0,0.0,0.000244948809268,0.000133651585202,0.0393850542605,0.0,0.0,0.0,0.0,0.0,0.0,0.316748440266,0.00578065495938,0.0345187671483,0.0,0.0,0.0,0.00578065542504,0.179864138365,0.00404083775356,0.0,0.0,0.0,0.0345187708735,0.00404083821923,0.327450424433
119401313175,90,0,honey/haz_cam,-0.058026496321,0.00750035280362,0.019073927775,0.504040420055,-0.178999602795,0.820855438709,0.200242727995,0.0400848500431,4.0240061935e-05,0.000243404690991,0.0,0.0,0.0,4.02400837629e-05,0.0397422872484,0.000144861856825,0.0,0.0,0.0,0.000243404676439,0.000144861915032,0.0398736447096,0.0,0.0,0.0,0.0,0.0,0.0,0.31899818778,0.00619491236284,0.0358279645443,0.0,0.0,0.0,0.00619491143152,0.18213994801,0.00495765823871,0.0,0.0,0.0,0.0358279645443,0.00495765823871,0.331004202366
120345785562,91,0,honey/haz_cam,-0.0580267868936,0.00750040309504,0.019074017182,0.515819370747,-0.181698039174,0.822633683681,0.155525684357,0.0405586436391,4.59669790871e-05,0.000241077985265,0.0,0.0,0.0,4.59669645352e-05,0.0402202568948,0.000157928006956,0.0,0.0,0.0,0.000241077999817,0.000157928006956,0.0403734818101,0.0,0.0,0.0,0.0,0.0,0.0,0.320503026247,0.00676395045593,0.0371007844806,0.0,0.0,0.0,0.00676395138726,0.184872716665,0.00625037169084,0.0,0.0,0.0,0.0371007844806,0.0062503721565,0.335849702358
121344659143,92,0,honey/haz_cam,-0.0580269731581,0.00750041287392,0.0190740823746,0.518867194653,-0.185080304742,0.826310455799,0.117181181908,0.0410262867808,4.70844279334e-05,0.000241773814196,0.0,0.0,0.0,4.70844497613e-05,0.0406980477273,0.000168263723026,0.0,0.0,0.0,0.0002417738433,0.000168263723026,0.0408771261573,0.0,0.0,0.0,0.0,0.0,0.0,0.320919901133,0.00648263469338,0.0381674245,0.0,0.0,0.0,0.00648263469338,0.187773540616,0.0070152906701,0.0,0.0,0.0,0.0381674282253,0.00701528973877,0.341018766165
122351823691,93,0,honey/haz_cam,-0.0580274350941,0.00750045245513,0.0190742462873,0.522309064865,-0.192525818944,0.826852142811,0.080255150795,0.0414821617305,4.5034186769e-05,0.000242807422183,0.0,0.0,0.0,4.50341722171e-05,0.0411574020982,0.00017410358123,0.0,0.0,0.0,0.000242807422183,0.00017410358123,0.0413649939001,0.0,0.0,0.0,0.0,0.0,0.0,0.322202205658,0.00585439009592,0.0394580252469,0.0,0.0,0.0,0.00585439056158,0.190157100558,0.00742203649133,0.0,0.0,0.0,0.0394580252469,0.007422036957,0.345677673817
123342235080,94,0,honey/haz_cam,-0.0580277517438,0.00750047713518,0.0190743394196,0.53110486269,-0.195368006825,0.82360380888,0.0378669463098,0.0419320426881,4.85227028548e-05,0.000239642598899,0.0,0.0,0.0,4.85227101308e-05,0.0416092686355,0.000181590206921,0.0,0.0,0.0,0.000239642584347,0.000181590265129,0.0418422408402,0.0,0.0,0.0,0.0,0.0,0.0,0.323886543512,0.00543235288933,0.0408681854606,0.0,0.0,0.0,0.00543235242367,0.192700892687,0.00859603378922,0.0,0.0,0.0,0.0408681854606,0.00859603472054,0.350256890059
124378742065,95,0,honey/haz_cam,-0.0580280385911,0.00750048691407,0.0190744493157,0.529985189438,-0.198718696833,0.824360013008,-0.00743888970464,0.0424069091678,4.72970750707e-05,0.000235897663515,0.0,0.0,0.0,4.72971223644e-05,0.0420928299427,0.00018915279361,0.0,0.0,0.0,0.000235897678067,0.00018915279361,0.0423646643758,0.0,0.0,0.0,0.0,0.0,0.0,0.323912411928,0.00388529594056,0.0420572161674,0.0,0.0,0.0,0.0038852954749,0.196144357324,0.00922504812479,0.0,0.0,0.0,0.0420572161674,0.00922504812479,0.357156664133
125338170169,96,0,honey/haz_cam,-0.0580280348659,0.00750046269968,0.0190744623542,0.542125284672,-0.203195586801,0.813720166683,-0.0516662821174,0.0428806096315,5.16862855875e-05,0.000232130041695,0.0,0.0,0.0,5.16862928635e-05,0.0425597578287,0.000190547696548,0.0,0.0,0.0,0.000232130041695,0.000190547696548,0.0428580120206,0.0,0.0,0.0,0.0,0.0,0.0,0.32750800252,0.00281909201294,0.0438515096903,0.0,0.0,0.0,0.0028190924786,0.19873522222,0.0108804889023,0.0,0.0,0.0,0.043851505965,0.0108804870397,0.361948996782
126372643196,97,0,honey/haz_cam,-0.0580285340548,0.00750055210665,0.0190745778382,0.555576860905,-0.210138648748,0.79857647419,-0.09721044451,0.043359991163,5.60370535823e-05,0.000229559853324,0.0,0.0,0.0,5.60370281164e-05,0.0430274829268,0.000187478945008,0.0,0.0,0.0,0.000229559853324,0.000187478770385,0.0433530658484,0.0,0.0,0.0,0.0,0.0,0.0,0.331925630569,0.00213404395618,0.0458614267409,0.0,0.0,0.0,0.00213404442184,0.200884476304,0.0126931061968,0.0,0.0,0.0,0.0458614304662,0.0126931061968,0.366016834974
